;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;gdd5;mtco;pann;e_pe;tann;mtwa;long;lati;alti;biome;age
BP39;40.5612244897959;0.127551020408163;0;18.6224489795919;0;0.38265306122449;0;0;0.76530612244898;0;0;0;6.12244897959184;1.27551020408163;0;0;9.56632653061224;2.93367346938776;0.38265306122449;0;0;1.53061224489796;0;4.20918367346939;0;1.02040816326531;0;3.44387755102041;0.127551020408163;6.12244897959184;2.8061224489796;NA;NA;NA;NA;NA;NA;8.3184;47.44;419;NA;7385
BP40;45.3900709219858;0.118203309692671;0;17.0212765957447;0.118203309692671;0;0;0;2.00945626477541;0;0;0;7.32860520094563;0.945626477541371;0;0;5.67375886524823;2.4822695035461;0.236406619385343;0;0;2.00945626477541;0;4.25531914893617;0;0.709219858156028;0;3.78250591016549;0;5.31914893617021;2.60047281323877;NA;NA;NA;NA;NA;NA;8.3185;47.45;419;NA;7590
BP41;36.4640883977901;0.276243093922652;0;16.7127071823204;0.138121546961326;0.138121546961326;0;0;1.38121546961326;0;0;0;9.25414364640883;2.07182320441989;0;0;5.38674033149171;3.86740331491713;0.138121546961326;0;0;0.414364640883978;0;5.52486187845304;0;0.828729281767956;0;4.8342541436464;0.138121546961326;9.53038674033148;2.90055248618785;NA;NA;NA;NA;NA;NA;8.3186;47.46;419;NA;7795
BP42;40.0602409638554;0.451807228915663;0;11.2951807228916;0.150602409638554;0.301204819277109;0;0;2.40963855421686;0;0;0;7.37951807228915;1.80722891566265;0;0;5.2710843373494;4.81927710843374;0.301204819277109;0;0;0.150602409638554;0;6.47590361445783;0;1.35542168674699;0;4.96987951807229;0;9.03614457831325;3.76506024096385;NA;NA;NA;NA;NA;NA;8.3187;47.47;419;NA;8000
BP43;42.5862068965517;0.172413793103448;0;3.62068965517242;0.172413793103448;0.517241379310345;0;0;2.06896551724138;0;0;0;9.13793103448276;2.24137931034483;0;0;2.06896551724138;3.44827586206896;0.344827586206896;0;0;0.344827586206896;0;10.3448275862069;0;2.75862068965517;0;6.20689655172414;0.344827586206896;8.79310344827586;4.82758620689655;NA;NA;NA;NA;NA;NA;8.3188;47.48;419;NA;8205
BP44;5.25451559934319;0.492610837438423;0;5.09031198686371;0;0.492610837438423;0;0;1.80623973727422;0;0;0;12.3152709359606;1.14942528735633;0;0;0.164203612479474;7.7175697865353;0.164203612479474;0;0;0;0;16.7487684729064;0;3.28407224958949;0;15.7635467980295;0.164203612479474;20.3612479474548;9.0311986863711;NA;NA;NA;NA;NA;NA;8.3189;47.49;419;NA;8574.662921
BP45;3.57852882703778;1.19284294234592;0;8.34990059642146;0.397614314115308;0.198807157057654;0;0;2.38568588469184;0;0;0;13.3200795228629;2.5844930417495;0;0.198807157057654;0;6.56063618290258;0.596421471172962;0;0;0.397614314115308;0;18.4890656063618;0;2.78330019880715;0;10.7355864811133;0.99403578528827;26.0437375745527;1.19284294234592;NA;NA;NA;NA;NA;NA;8.3190;47.50;419;NA;8944.325843
BP46;2.04678362573099;0.438596491228071;0;4.97076023391813;0;0.146198830409357;0;0;1.60818713450292;0;0;0;16.0818713450292;1.60818713450292;0;0;0;2.77777777777777;0.146198830409357;0;0;0;0;27.3391812865497;0;2.92397660818713;0;7.4561403508772;0.146198830409357;24.561403508772;7.7485380116959;NA;NA;NA;NA;NA;NA;8.3191;47.51;419;NA;9313.988764
BP47;1.91972076788831;0.523560209424084;0;6.80628272251309;0;0.349040139616057;0;0;3.66492146596858;0;0;0;20.4188481675392;2.09424083769634;0;0;0;8.55148342059338;0;0;0;0;0;9.77312390924957;0;2.61780104712042;0;13.7870855148342;0.523560209424084;20.5933682373473;8.37696335078535;NA;NA;NA;NA;NA;NA;8.3192;47.52;419;NA;9683.651685
BP48;0.536672629695886;0.536672629695886;0;5.90339892665475;0;0.715563506261181;0;0;3.22003577817532;0;0;0;20.3935599284437;0.894454382826476;0;0;0;5.54561717352415;0.894454382826476;0;0;0;0;10.3756708407871;0;3.39892665474061;0;15.742397137746;0.178890876565295;20.5724508050089;11.0912343470483;NA;NA;NA;NA;NA;NA;8.3193;47.53;419;NA;9852.591171
BP49;0.245098039215686;0.490196078431373;0;3.55392156862745;0.245098039215686;0.122549019607843;0;0;2.69607843137254;0;0;0;49.0196078431373;1.34803921568628;0;0;0;5.88235294117647;0.245098039215686;0;0;0;0;7.1078431372549;0;2.32843137254901;0;11.6421568627451;0;6.00490196078432;9.06862745098039;NA;NA;NA;NA;NA;NA;8.3194;47.54;419;NA;9878.502879
BP50;0.341296928327646;0.341296928327646;0;4.43686006825939;0.341296928327646;0.341296928327646;0;0;5.46075085324232;0;0;0;32.4232081911262;1.53583617747441;0;0;0;5.80204778156997;0.170648464163823;0;0;0;0;8.87372013651877;0;4.60750853242321;0;12.1160409556314;0.170648464163823;15.5290102389079;7.5085324232082;NA;NA;NA;NA;NA;NA;8.3195;47.55;419;NA;9930.326296
BP51;0;0.487012987012987;0;8.11688311688313;0;0.162337662337663;0;0;4.70779220779221;0;0;0.162337662337663;30.1948051948052;1.62337662337663;0;0;0;5.51948051948052;0.162337662337663;0;0;0;0;8.44155844155844;0.162337662337663;2.75974025974026;0;11.3636363636364;0.64935064935065;13.6363636363636;11.8506493506494;NA;NA;NA;NA;NA;NA;8.3196;47.56;419;NA;9982.149712
BP52;0.156494522691705;0.625978090766823;0;5.79029733959311;0;0.625978090766823;0;0;5.00782472613458;0;0;0;31.1424100156494;2.03442879499218;0;0;0;3.91236306729264;0;0;0;0;0;6.57276995305164;0;5.16431924882629;0;11.737089201878;0.625978090766823;17.8403755868545;8.76369327073552;NA;NA;NA;NA;NA;NA;8.3197;47.57;419;NA;10033.97313
BP53;0;0.491803278688524;0;4.09836065573771;0;0.327868852459016;0;0;4.09836065573771;0;0;0;38.3606557377049;1.14754098360656;0;0;0;3.11475409836065;0.655737704918032;0;0;0;0;6.0655737704918;0;5.08196721311475;0;12.4590163934426;0;12.7868852459017;11.3114754098361;NA;NA;NA;NA;NA;NA;8.3198;47.58;419;NA;10085.79655
BP54;0;0.364298724954463;0;6.3752276867031;0.182149362477231;0.364298724954463;0;0;3.27868852459016;0;0;0;33.3333333333333;0.728597449908926;0;0;0;3.09653916211293;0.546448087431694;0;0;0;0;8.92531876138434;0;5.64663023679418;0;12.9326047358834;0.728597449908926;14.3897996357013;9.10746812386157;NA;NA;NA;NA;NA;NA;8.3199;47.59;419;NA;10137.61996
BP55;0;0.610687022900764;0;4.88549618320611;0.152671755725191;0;0;0;5.34351145038169;0;0;0;40.6106870229008;1.52671755725191;0;0;0;2.90076335877862;0.305343511450382;0;0;0;0;7.48091603053436;0;5.80152671755726;0;9.00763358778627;0.152671755725191;12.0610687022901;9.16030534351145;NA;NA;NA;NA;NA;NA;8.3200;47.60;419;NA;10189.44338
BP56;0;0.4;0;3.73333333333334;0.266666666666667;0.4;0;0;4.4;0;0;0;43.8666666666666;1.33333333333333;0;0;0;3.06666666666667;0.4;0;0;0;0;8.8;0;3.59999999999999;0;9.33333333333333;0.4;10.8;9.2;NA;NA;NA;NA;NA;NA;8.3201;47.61;419;NA;10241.26679
BP57;0;0.431654676258993;0;2.87769784172662;0.575539568345324;0.287769784172662;0;0;5.75539568345323;0;0;0;39.8561151079137;2.87769784172662;0;0;0;1.43884892086331;0.431654676258993;0;0;0;0;7.19424460431655;0;5.03597122302158;0;12.3741007194245;0.287769784172662;10.7913669064748;9.7841726618705;NA;NA;NA;NA;NA;NA;8.3202;47.62;419;NA;10293.09021
BP58;0;0.164473684210526;0;2.30263157894737;0.493421052631579;0.493421052631579;0;0;7.73026315789473;0;0;0;47.6973684210526;0.822368421052632;0;0;0;1.15131578947369;0.493421052631579;0;0;0;0;9.53947368421053;0;3.28947368421053;0;13.3223684210527;0.328947368421053;5.5921052631579;6.57894736842105;NA;NA;NA;NA;NA;NA;8.3203;47.63;419;NA;10344.91363
BP59;0;0.69060773480663;0;3.45303867403314;0.828729281767955;0;0;0;4.00552486187845;0;0;0;50.5524861878453;1.10497237569061;0;0;0;1.24309392265193;0.276243093922652;0;0;0;0;8.56353591160221;0;3.45303867403314;0;11.8784530386741;0.138121546961326;5.24861878453039;8.56353591160221;NA;NA;NA;NA;NA;NA;8.3204;47.64;419;NA;10396.73704
BP60;0;0.308641975308642;0;5.09259259259259;0.154320987654321;0.462962962962963;0;0;4.78395061728395;0;0;0;50;0.925925925925926;0;0;0;0.462962962962963;0.154320987654321;0;0;0;0;10.9567901234568;0;2.16049382716049;0;10.8024691358025;0;6.6358024691358;7.09876543209876;NA;NA;NA;NA;NA;NA;8.3205;47.65;419;NA;10448.56046
BP61;0;0;0;4.67289719626168;0;0.778816199376947;0;0;8.09968847352025;0;0;0;45.3271028037383;0.623052959501558;0;0;0;0.155763239875389;0.778816199376947;0;0;0;0;13.0841121495327;0;4.3613707165109;0;8.8785046728972;0.155763239875389;6.85358255451713;6.23052959501558;NA;NA;NA;NA;NA;NA;8.3206;47.66;419;NA;10500.38388
BP62;0;0.321027287319422;0;2.8892455858748;0.160513643659711;0.160513643659711;0;0;6.58105939004815;0;0;0;50.2407704654896;2.24719101123596;0.160513643659711;0;0;0.481540930979133;0.963081861958267;0;0;0;0;12.8410914927769;0;2.8892455858748;0;12.5200642054575;0.321027287319422;4.65489566613162;2.56821829855538;NA;NA;NA;NA;NA;NA;8.3207;47.67;419;NA;10552.20729
BP63;0;0.142450142450143;0;5.27065527065527;0.284900284900285;0.427350427350428;0;0;7.26495726495726;0;0;0;45.5840455840456;1.13960113960114;0;0;0;0;0.427350427350428;0;0;0;0;13.1054131054131;0;2.56410256410256;0;16.8091168091168;0.142450142450143;2.27920227920228;4.55840455840455;NA;NA;NA;NA;NA;NA;8.3208;47.68;419;NA;10604.03071
BP64;0;0.928792569659443;0;4.02476780185759;0.773993808049536;0;0;0;5.10835913312694;0;0;0;52.4767801857585;0.464396284829722;0;0;0;0;0.619195046439629;0;0;0;0;9.28792569659443;0;2.94117647058824;0;16.4086687306501;0.309597523219814;2.1671826625387;4.48916408668731;NA;NA;NA;NA;NA;NA;8.3209;47.69;419;NA;10655.85413
BP65;0;0.815217391304348;0;5.84239130434782;0;0.407608695652174;0;0;6.79347826086957;0;0;0;40.3532608695652;0.815217391304348;0;0;0;0.271739130434783;0.407608695652174;0;0;0;0;12.5;0.135869565217391;2.03804347826087;0;20.1086956521739;0.271739130434783;1.49456521739131;7.7445652173913;NA;NA;NA;NA;NA;NA;8.3210;47.70;419;NA;10707.67754
BP66;0;0.299850074962519;0;4.7976011994003;0;0.449775112443778;0;0;8.54572713643179;0;0;0;47.6761619190405;1.34932533733133;0;0;0;0;0.599700149925039;0;0;0;0;13.1934032983508;0;3.74812593703148;0;14.0929535232384;0.149925037481259;1.34932533733133;3.74812593703148;NA;NA;NA;NA;NA;NA;8.3211;47.71;419;NA;10759.50096
BP67;0;0.150829562594269;0;7.99396681749623;0;0.754147812971342;0;0;6.93815987933636;0;0;0;43.5897435897436;1.80995475113123;0;0;0;0;0.452488687782805;0;0;0;0;14.7812971342383;0;2.26244343891403;0;12.0663650075415;0.150829562594269;1.80995475113123;7.23981900452488;NA;NA;NA;NA;NA;NA;8.3212;47.72;419;NA;10811.32438
BP68;0.136425648021828;0;0;6.8212824010914;0.136425648021828;0.545702592087313;0;0;8.731241473397;0;0;0;41.2005457025921;1.63710777626194;0;0;0;0;0.272851296043656;0;0;0;0;21.9645293315144;0.272851296043657;2.4556616643929;0;8.45839017735334;0.409276944065484;1.22783083219646;5.72987721691678;NA;NA;NA;NA;NA;NA;8.3213;47.73;419;NA;10863.14779
BP69;0;0;0;10.0456621004566;0.30441400304414;0.30441400304414;0;0;8.37138508371385;0;0;0;36.6818873668189;0.76103500761035;0.15220700152207;0;0;0;0;0;0;0;0;24.5053272450533;0;1.5220700152207;0;7.76255707762557;0.60882800608828;2.43531202435312;6.544901065449;NA;NA;NA;NA;NA;NA;8.3214;47.74;419;NA;10914.97121
BP70;0;0.305343511450382;0;4.88549618320611;0.305343511450382;0.152671755725191;0;0;7.32824427480916;0;0;0;43.5114503816794;1.37404580152671;0;0;0;0;0.610687022900763;0;0;0.152671755725191;0;23.969465648855;0;1.6793893129771;0;7.63358778625954;0.305343511450382;1.98473282442748;5.80152671755725;NA;NA;NA;NA;NA;NA;8.3215;47.75;419;NA;10966.79463
BP71;0;0;0;4.3338683788122;0.160513643659711;0.481540930979133;0;0;6.74157303370786;0;0;0;43.1781701444623;1.60513643659711;0;0;0;0;0.321027287319422;0;0;0;0;26.8057784911717;0.321027287319422;1.76565008025683;0;6.58105939004815;0.160513643659711;2.88924558587479;4.65489566613162;NA;NA;NA;NA;NA;NA;8.3216;47.76;419;NA;11018.61804
BP72;0;0.288600288600288;0;5.77200577200577;0.144300144300145;0.721500721500721;0;0;4.76190476190477;0;0;0.144300144300145;38.9610389610389;1.58730158730158;0;0;0;0;0;0;0;0;0;29.8701298701299;0.144300144300145;0.577200577200577;0;5.62770562770563;0.288600288600288;3.03030303030303;8.08080808080808;NA;NA;NA;NA;NA;NA;8.3217;47.77;419;NA;11070.44146
BP73;0;0.408163265306122;0;3.94557823129252;0.136054421768707;0.408163265306122;0;0;8.97959183673469;0;0;0;23.265306122449;2.04081632653061;0;0;0;0.136054421768707;0;0;0;0;0;45.9863945578231;0;2.17687074829932;0;3.40136054421768;0.408163265306122;1.22448979591837;7.48299319727891;NA;NA;NA;NA;NA;NA;8.3218;47.78;419;NA;11122.26488
BP74;0;0.337837837837838;0;0.675675675675675;0.675675675675675;0.675675675675675;0;0;11.4864864864865;0;0;0;4.39189189189189;1.8581081081081;0;0;0;0.506756756756756;0;0;0;0;0;67.9054054054054;0;3.54729729729729;0;1.01351351351351;1.01351351351351;2.36486486486487;3.54729729729729;NA;NA;NA;NA;NA;NA;8.3219;47.79;419;NA;11148.17658
BP75;0;0.623052959501558;0;1.24610591900311;0.623052959501558;0.311526479750779;0;0;15.576323987539;0;0;0;2.02492211838006;1.55763239875389;0;0;0;0;0;0;0;0;0;68.8473520249221;0;1.71339563862928;0;1.71339563862928;1.09034267912773;4.67289719626168;0;NA;NA;NA;NA;NA;NA;8.3220;47.80;419;NA;11174.08829
BP76;0;0.162866449511401;0;0.488599348534202;0.488599348534202;0.651465798045603;0;0;18.8925081433225;0;0;0;2.93159609120521;1.30293159609121;0;0;0;0.162866449511401;0.651465798045603;0;0;0;0;66.1237785016286;0;2.28013029315961;0;0;2.11726384364821;3.09446254071661;0.651465798045603;NA;NA;NA;NA;NA;NA;8.3221;47.81;419;NA;11200
BP77;0;0;0;0;0.348432055749129;0.696864111498257;0;0;36.2369337979094;0;0;0;0.261324041811847;0.522648083623693;0;0;0;0;0.348432055749129;0;0;0;0;57.1428571428571;0;2.35191637630661;0;0.174216027874564;1.4808362369338;0.348432055749129;0.0871080139372821;NA;NA;NA;NA;NA;NA;8.3222;47.82;419;NA;11213.93967
BP78;0;0;0;0;0.289855072463768;0.579710144927536;0;0;33.4782608695652;0;0;0.144927536231885;0.289855072463768;1.7391304347826;0.144927536231885;0;0;0;2.17391304347826;0;0;0;0;58.2608695652174;0;1.59420289855073;0;0.144927536231885;1.15942028985508;0;0;NA;NA;NA;NA;NA;NA;8.3223;47.83;419;NA;11220.90951
BP79;0;0;0;0.252844500632111;0.252844500632111;1.39064475347661;0;0;39.3173198482933;0;0;0.126422250316055;0;0.758533501896334;0;0;0;0;1.76991150442477;0;0;0;0;50.3160556257902;0.126422250316055;4.04551201011378;0;0;1.64348925410872;0;0;NA;NA;NA;NA;NA;NA;8.3224;47.84;419;NA;11227.87934
BP80;0;0;0;0;0.375234521575985;2.43902439024391;0;0;25.7035647279549;0;0;0;0.187617260787992;3.75234521575985;0;0;0;0;3.75234521575985;0;0;0;0;53.0956848030019;0.375234521575985;9.7560975609756;0;0.187617260787992;0.375234521575985;0;0;NA;NA;NA;NA;NA;NA;8.3225;47.85;419;NA;11234.84918
BP81;0;0;0;0.299401197604791;0.449101796407186;3.89221556886228;0;0;30.3892215568863;0;0;0;0.149700598802395;3.1437125748503;0;0.149700598802395;0;0;0.598802395209581;0;0;0;0;54.940119760479;0;5.38922155688623;0;0;0.598802395209581;0;0;NA;NA;NA;NA;NA;NA;8.3226;47.86;419;NA;11241.81901
BP82;0;0;0;0;1.33587786259542;1.7175572519084;0;0;23.4732824427481;0;0;0;0;3.62595419847328;0;0;0;0;4.9618320610687;0;0;0;0;53.2442748091603;0.190839694656488;10.3053435114504;0;0.190839694656488;0.954198473282442;0;0;NA;NA;NA;NA;NA;NA;8.3227;47.87;419;NA;11248.78885
BP83;0;0;0;0;0.803858520900322;2.41157556270097;0;0;31.1897106109325;0;0;0.803858520900322;0;1.76848874598071;0.160771704180064;0;0;0;1.12540192926046;0;0;0;0;55.6270096463023;0;5.78778135048232;0;0.160771704180064;0.160771704180064;0;0;NA;NA;NA;NA;NA;NA;8.3228;47.88;419;NA;11255.75868
BP84;0;0;0;0;1.19047619047619;1.87074829931973;0;0;10.8843537414966;0;0;0.170068027210884;0;2.55102040816326;0;0;0;0;2.89115646258504;0;0;0;0;70.7482993197279;0;9.18367346938776;0;0.170068027210884;0.340136054421769;0;0;NA;NA;NA;NA;NA;NA;8.3229;47.89;419;NA;11262.72852
BP85;0;0;0;0.263852242744064;0.923482849604221;4.22163588390501;0;0;22.4274406332454;0;0;0.395778364116095;0;0.659630606860157;0;0;0;0;1.45118733509235;0;0;0;0;62.664907651715;0.131926121372031;6.46437994722954;0;0;0.395778364116095;0;0;NA;NA;NA;NA;NA;NA;8.3230;47.90;419;NA;11269.69835
BP86;0;0;0;0.246913580246914;0.246913580246914;3.95061728395062;0;0;11.8518518518519;0;0;0.246913580246914;0;2.71604938271605;0;0;0;0;4.19753086419753;0;0;0;0;58.2716049382716;0;18.0246913580247;0;0;0.246913580246914;0;0;NA;NA;NA;NA;NA;NA;8.3231;47.91;419;NA;11276.66819
BP87;0;0;0;0.124688279301745;1.24688279301745;3.11720698254364;0;0;11.7206982543641;0;0;0.124688279301745;0;2.61845386533666;0.249376558603491;0;0;0;1.24688279301745;0;0;0;0;70.573566084788;0;8.97755610972569;0;0;0;0;0;NA;NA;NA;NA;NA;NA;8.3232;47.92;419;NA;11283.63803
BP88;0;0;0;0;0.55452865064695;2.2181146025878;0;0;14.9722735674677;0;0;0.369685767097966;0;2.40295748613678;0;0;0;0;4.06654343807763;0;0;0;0;64.5101663585952;0.184842883548983;9.7966728280961;0;0.184842883548983;0.739371534195933;0;0;NA;NA;NA;NA;NA;NA;8.3233;47.93;419;NA;11290.60786
BP89;0;0;0;0;0.431034482758621;3.30459770114942;0;0;23.4195402298851;0;0;0.431034482758621;0;2.1551724137931;0;0.143678160919541;0;0;1.29310344827586;0;0;0;0;60.632183908046;0;7.32758620689655;0;0.143678160919541;0.718390804597701;0;0;NA;NA;NA;NA;NA;NA;8.3234;47.94;419;NA;11297.5777
BP90;0;0;0;0;0.927357032457496;3.24574961360124;0;0;17.0015455950541;0;0;0;0;2.00927357032457;0;0;0;0;4.17310664605874;0;0;0;0;59.5054095826894;0;12.6738794435858;0;0.154559505409582;0.309119010819165;0;0;NA;NA;NA;NA;NA;NA;8.3235;47.95;419;NA;11304.54753
BP91;0;0;0;0.168350168350168;1.01010101010101;3.7037037037037;0;0;26.0942760942761;0;0;0.505050505050505;0;2.18855218855219;0;0;0;0;2.02020202020202;0;0;0;0;55.2188552188552;0;8.92255892255893;0;0;0.168350168350168;0;0;NA;NA;NA;NA;NA;NA;8.3236;47.96;419;NA;11311.51737
BP92;0;0;0;0;1.28205128205128;1.60256410256411;0;0;12.5;0;0;0.32051282051282;0;3.2051282051282;0.160256410256411;0;0;0;3.2051282051282;0;0;0;0;66.1858974358974;0.160256410256411;10.7371794871795;0;0;0.641025641025641;0;0;NA;NA;NA;NA;NA;NA;8.3237;47.97;419;NA;11318.4872
BP93;0;0;0;0;1.76470588235294;2.50000000000001;0;0;15.1470588235294;0;0;0.147058823529412;0.147058823529412;3.38235294117647;0;0;0;0;1.47058823529412;0;0;0;0;64.7058823529412;0;10.5882352941176;0;0;0.147058823529412;0;0;NA;NA;NA;NA;NA;NA;8.3238;47.98;419;NA;11325.45704
BP94;0;0;0;0;1.04790419161677;2.54491017964072;0;0;28.8922155688623;0;0;0.29940119760479;0;2.39520958083832;0;0;0;0;3.2934131736527;0;0;0;0;50.748502994012;0;10.4790419161677;0;0;0.29940119760479;0;0;NA;NA;NA;NA;NA;NA;8.3239;47.99;419;NA;11332.42687
BP95;0;0;0;0;1.69230769230769;2.15384615384615;0;0;11.3846153846154;0;0;0.153846153846154;0;2.61538461538461;0;0.153846153846154;0;0;3.07692307692307;0;0;0;0;71.5384615384616;0;6.30769230769231;0;0;0.923076923076923;0;0;NA;NA;NA;NA;NA;NA;8.3240;47.100;419;NA;11339.39671
BP96;0;0;0;0;0.673400673400674;0.336700336700336;0;0;9.25925925925926;0;0;0;0;2.69360269360269;0.168350168350168;0;0;0;2.69360269360269;0;0;0;0;76.936026936027;0;7.07070707070707;0;0;0.168350168350168;0;0;NA;NA;NA;NA;NA;NA;8.3241;47.101;419;NA;11346.36654
BP97;0;0;0;0.118623962040332;0.118623962040332;1.18623962040332;0;0;28.8256227758007;0;0;0;0;0.948991696322657;0;0;0;0;0.237247924080664;0;0;0;0;64.29418742586;0;4.03321470937129;0;0;0.237247924080664;0;0;NA;NA;NA;NA;NA;NA;8.3242;47.102;419;NA;11353.33638
BP98;0;0;0;0;0.185873605947956;0.929368029739777;0;0;47.0260223048327;0;0;0;0;1.11524163568773;0;0;0;0;0.929368029739777;0;0;0;0;43.4944237918216;0;4.83271375464684;0;0;1.48698884758364;0;0;NA;NA;NA;NA;NA;NA;8.3243;47.103;419;NA;11360.30622
BP99;0;0;0;0;0.562587904360057;0.70323488045007;0;0;43.1786216596343;0;0;0;0;0.70323488045007;0;0;0;0;0.843881856540085;0;0;0;0;50.070323488045;0;2.67229254571026;0;0;1.26582278481012;0;0;NA;NA;NA;NA;NA;NA;8.3244;47.104;419;NA;11367.27605
BP100;0;0;0;0;0.638977635782747;0.47923322683706;0;0;38.3386581469648;0;0;0;0;1.91693290734824;0;0;0;0;1.27795527156549;0;0;0;0;46.964856230032;0.638977635782747;8.94568690095846;0;0;0.798722044728434;0;0;NA;NA;NA;NA;NA;NA;8.3245;47.105;419;NA;11371.45795
BP101;0;0;0;0;0.308166409861325;0.770416024653314;0;0;40.5238828967643;0;0;0.154083204930663;0;1.54083204930663;0;0;0;0;0.616332819722651;0;0;0;0;50.8474576271186;0;4.9306625577812;0;0;0.308166409861325;0;0;NA;NA;NA;NA;NA;NA;8.3246;47.106;419;NA;11374.24589
BP102;0;0;0;0;0;0.855920114122681;0;0;29.9572039942939;0;0;0.142653352353781;0;1.42653352353781;0;0;0;0;0.570613409415121;0;0;0;0;61.1982881597717;0;5.27817403708987;0;0;0.570613409415121;0;0;NA;NA;NA;NA;NA;NA;8.3247;47.107;419;NA;11381.21572
BP103;0;0;0;0;0.306748466257668;0;0;0;32.2085889570552;0;0;0;0;2.30061349693251;0;0;0;0;1.22699386503067;0;0;0;0;58.8957055214724;0.153374233128834;4.60122699386504;0;0;0.306748466257668;0;0;NA;NA;NA;NA;NA;NA;8.3248;47.108;419;NA;11388.18556
BP104;0;0;0;0;0.261096605744125;0.652741514360314;0;0;50.1305483028721;0;0;0;0;0.91383812010444;0;0;0;0;1.0443864229765;0;0;0;0;42.4281984334204;0;3.91644908616188;0;0;0.652741514360314;0;0;NA;NA;NA;NA;NA;NA;8.3249;47.109;419;NA;11395.15539
BP105;0;0;0;0;0.698324022346369;0.698324022346369;0;0;39.2458100558659;0;0;0;0;1.81564245810056;0;0;0;0;1.53631284916201;0;0;0;0;48.463687150838;0;6.4245810055866;0;0;1.11731843575419;0;0;NA;NA;NA;NA;NA;NA;8.3250;47.110;419;NA;11402.12523
BP106;0;0;0;0;0.291970802919708;0.437956204379562;0;0;57.8102189781022;0;0;0;0;1.45985401459854;0;0;0;0;0.72992700729927;0;0;0;0;34.8905109489051;0;3.5036496350365;0;0;0.875912408759125;0;0;NA;NA;NA;NA;NA;NA;8.3251;47.111;419;NA;11409.09506
BP107;0;0;0;0;0.63391442155309;1.42630744849445;0;0;64.9762282091917;0;0;0;0;3.64500792393026;0;0;0;0;1.90174326465927;0;0;0;0;18.3835182250397;0.158478605388273;5.54675118858954;0;0.316957210776545;3.01109350237718;0;0;NA;NA;NA;NA;NA;NA;8.3252;47.112;419;NA;11436.97441
BP108;0;0;0;0;1.09289617486339;3.68852459016393;0;0;73.6338797814208;0;0;0;0;3.27868852459016;0;0;0;0;6.55737704918033;0;0;0;0;0.409836065573771;0.136612021857923;6.28415300546448;0;0;4.91803278688524;0;0;NA;NA;NA;NA;NA;NA;8.3253;47.113;419;NA;11470.42962
BP109;0;0;0;0;0.702576112412177;1.99063231850117;0;0;49.7658079625293;0;0;0;0;2.92740046838407;0;0;0;0;30.7962529274005;0;0;0;0;0.351288056206089;0.234192037470725;9.71896955503512;0;0;3.51288056206089;0;0;NA;NA;NA;NA;NA;NA;8.3254;47.114;419;NA;11477.39945
BP110;0;0;0;0;0.568181818181818;2.65151515151515;0;0;12.310606060606;0;0;0;0;3.97727272727272;0.189393939393939;0;0;0;57.1969696969697;0;0;0;0;0.757575757575757;0.189393939393939;17.0454545454546;0;0;5.11363636363636;0;0;NA;NA;NA;NA;NA;NA;8.3255;47.115;419;NA;11485.76325
BP111;0;0;0;0;0.618238021638331;5.40958268933539;0;0;17.3106646058732;0;0;0.309119010819165;0;9.42812982998454;0;0;0;0;23.8021638330758;0;0;0;0;1.08191653786708;0.154559505409582;35.2395672333849;0;0;6.64605873261205;0;0;NA;NA;NA;NA;NA;NA;8.3256;47.116;419;NA;11492.73309
BP112;0;0;0;0;2.00400801603206;13.8276553106213;0;0;29.0581162324649;0;0;1.20240480961924;0;13.6272545090181;0.200400801603207;0;0;0;7.21442885771542;0;0;0;0;3.0060120240481;0.601202404809618;28.0561122244489;0;0;1.20240480961924;0;0;NA;NA;NA;NA;NA;NA;8.3257;47.117;419;NA;11506.67276
BP113;0;0;0;0;0.588235294117648;15.0980392156862;0;0;23.1372549019608;0;0;0.784313725490197;0;16.4705882352941;0.196078431372549;0.196078431372549;0;0;1.37254901960785;0;0;0;0;1.96078431372549;1.1764705882353;36.4705882352942;0;0;2.54901960784314;0;0;NA;NA;NA;NA;NA;NA;8.3258;47.118;419;NA;11520.61243
BP114;0;0;0;0;0.671140939597316;14.0939597315436;0;0;24.1610738255034;0;0;2.23713646532438;0;14.9888143176734;0.447427293064877;0;0;0;1.56599552572707;0;0;0;0;1.34228187919463;0.671140939597316;38.255033557047;0;0;1.56599552572707;0;0;NA;NA;NA;NA;NA;NA;8.3259;47.119;419;NA;11548.49177
BP115;0;0;0;0;0.518134715025907;19.3436960276339;0;0;10.1899827288428;0;0;1.55440414507772;0;18.4801381692573;0.518134715025907;0;0;0;0.345423143350605;0;0;0;0;1.72711571675302;0.518134715025907;44.7322970639033;0;0;2.07253886010363;0;0;NA;NA;NA;NA;NA;NA;8.3260;47.120;419;NA;11576.37112
BP116;0;0;0;0;0.515463917525774;27.8350515463917;0;0;2.31958762886598;0;0;3.35051546391752;0;23.7113402061856;0;0;0;0;0.257731958762887;0;0;0;0;3.09278350515464;0.77319587628866;35.8247422680412;0;0;2.31958762886598;0;0;NA;NA;NA;NA;NA;NA;8.3261;47.121;419;NA;11604.25046
