;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;gdd5;mtco;pann;e_pe;tann;mtwa;long;lati;alti;biome;age
r809;0;0;0;0;0;18.88;0.51;1.02;1.53;0;0;1.02;0;5.1;1.02;0;0;0;0;0.51;0;0.51;12.24;0.51;0;57.14;0;0;0;0;0;673.558;-20.799;271.927;48.191;-3.113;13.535;89.9736;50.0208;2090;TUND;0
r810;0;0;0;0;0;12.43;0.54;2.16;2.16;0.54;0;0.54;0;8.11;5.95;0;0;0;0;1.62;0;1.08;45.41;2.7;0;15.14;0;0;1.62;0;0;667.034;-20.832;273.371;48.42;-3.156;13.486;89.9786;50.0217;2100;COCO;0
r811;0;0;0;1.51;0;1.51;1.01;0;0;0;0;8.54;1.01;0;0;0;0;0;0;0;0;0;0;9.55;0;0.5;0;74.87;0;1.51;0;2364.438;-0.732;555.722;70.869;9.987;20.664;31.5;49.6667;200;TEDE;0
r812;0;0.51;0;0;0;2.03;3.05;0;0;0;0;8.12;2.54;0;0;0;0;0;0;0;0;0;0;6.6;0;1.02;0;68.53;0;7.61;0;2375.073;-1.279;510.711;65.14;9.884;20.897;35.15;49.6667;200;TEDE;0
r813;0;0;0;4.1;0;1.23;1.23;0;8.2;0;0.41;2.46;0;0;0;0.82;0;0;0;0;0;0;0;73.77;0;1.64;0;5.74;0.41;0;0;2100.569;-1.828;583.988;80.109;8.761;19.631;29.75;50.9333;140;COMX;0
BP1;6.71140939597315;0.671140939597315;0;6.04026845637585;0.223713646532438;0;0;0;6.48769574944072;0;1.34228187919463;0;9.61968680089487;6.48769574944072;0;0;11.6331096196868;2.9082774049217;0.894854586129755;0;0;6.9351230425056;0;5.14541387024609;2.46085011185683;17.2259507829977;0;13.6465324384787;0.671140939597315;0.447427293064877;0.447427293064877;NA;NA;NA;NA;NA;NA;8.3146;47.06;419;NA;0
BP2;6.2962962962963;0.185185185185185;0;8.33333333333333;2.22222222222222;0;0;0;1.48148148148148;0;0.185185185185185;0;3.33333333333334;4.81481481481481;0;0;4.25925925925926;1.85185185185185;0.555555555555555;0;0;7.4074074074074;0;5.74074074074074;4.62962962962963;41.6666666666667;0;5.92592592592593;0.555555555555555;0.555555555555555;0;NA;NA;NA;NA;NA;NA;8.3147;47.07;419;NA;292.1908894
BP3;6.3526834611172;0.328587075575027;0;6.46221248630888;1.75246440306681;0.109529025191676;0;0;2.30010952902519;0;0.547645125958378;0.109529025191676;3.72398685651697;7.44797371303396;0;0.109529025191676;8.21467688937569;1.20481927710843;0.328587075575027;0;0;7.55750273822564;0;5.80503833515881;7.55750273822564;31.8729463307776;0;7.44797371303396;0.438116100766703;0.219058050383351;0.109529025191676;NA;NA;NA;NA;NA;NA;8.3148;47.08;419;NA;438.2863341
BP4;5.23690773067332;0.374064837905237;0;6.73316708229426;0.997506234413965;0.124688279301745;0;0;1.87032418952618;0;0.124688279301745;0.124688279301745;6.73316708229426;7.60598503740648;0;0.124688279301745;11.5960099750623;1.37157107231921;1.6209476309227;0;0;5.61097256857855;0;4.98753117206983;5.98503740648379;27.0573566084788;0;10.8478802992519;0.623441396508729;0.249376558603492;0;NA;NA;NA;NA;NA;NA;8.3149;47.09;419;NA;584.3817787
BP5;8.63787375415283;0;0;11.4617940199336;0.830564784053157;0.332225913621262;0;0;2.99003322259136;0;0.996677740863788;0;7.80730897009967;3.98671096345515;0;0.166112956810631;8.80398671096346;0.830564784053157;1.49501661129568;0;0;9.63455149501662;0;3.48837209302325;4.81727574750831;17.109634551495;0;15.2823920265781;0.830564784053157;0.498338870431893;0;NA;NA;NA;NA;NA;NA;8.3150;47.10;419;NA;730.4772234
