Pays;Annee_civile;Annee;G;L;H;Rdt
Sweden_b;2006;3;0.8;0.2;2.56;1.959
Belgium;2003;1;0.8;0.2;3.3;3.916
Iceland_a;2003;1;0.8;0.2;3.3;3.155
Sweden_a;2003;1;0.8;0.2;3.3;3.05
Belgium;2004;2;0.8;0.2;3.3;6.924
France;2004;1;0.8;0.2;3.3;2.201
Iceland_a;2004;2;0.8;0.2;3.3;1.804
Norway_a;2004;1;0.8;0.2;3.3;4.096
Sweden_a;2004;2;0.8;0.2;3.3;3.15
Sweden_b;2004;1;0.8;0.2;3.3;2.585
Belgium;2005;3;0.8;0.2;3.3;4.814
France;2005;2;0.8;0.2;3.3;3.528
Iceland_a;2005;3;0.8;0.2;3.3;1.511
Norway_a;2005;2;0.8;0.2;3.3;3.143
Sweden_a;2005;3;0.8;0.2;3.3;3.001
Sweden_b;2005;2;0.8;0.2;3.3;2.491
France;2006;3;0.8;0.2;3.3;2.807
Norway_a;2006;3;0.8;0.2;3.3;2.89
Sweden_b;2006;3;0.8;0.2;3.3;1.88
Belgium;2003;1;0.8;0.2;2.56;3.803
Iceland_a;2003;1;0.8;0.2;2.56;2.755
Sweden_a;2003;1;0.8;0.2;2.56;3.434
Belgium;2004;2;0.8;0.2;2.56;7.134
France;2004;1;0.8;0.2;2.56;3.104
Iceland_a;2004;2;0.8;0.2;2.56;2.26
Norway_a;2004;1;0.8;0.2;2.56;4.119
Sweden_a;2004;2;0.8;0.2;2.56;3.32
Sweden_b;2004;1;0.8;0.2;2.56;3.355
Belgium;2005;3;0.8;0.2;2.56;4.442
France;2005;2;0.8;0.2;2.56;5.01
Iceland_a;2005;3;0.8;0.2;2.56;1.709
Norway_a;2005;2;0.8;0.2;2.56;2.989
Sweden_a;2005;3;0.8;0.2;2.56;3.062
Sweden_b;2005;2;0.8;0.2;2.56;2.688
France;2006;3;0.8;0.2;2.56;4.2
Norway_a;2006;3;0.8;0.2;2.56;3.253
Sweden_b;2006;3;0.8;0.2;2.56;1.815
