KIDEN	juge	rang	Produit	O pom crue	O pom cuite	S sucre	S acide	S amer	S pom crue	S pom verte 1	S pom verte 2	S pom cuite	S vanille	S ss bois	S astringent	T lisse	T fluide	T nappant	A clarte	A jaune	A vert	A brun	A brillant	A phase aqueuse	A granuleux	A fluide	Note hedonique 1	Note hedonique 2
1851	juge18	rang 5	Poti	5,00	2,00	2,00	0,00	0,00	5,00	0,00	0,00	1,00	1,00	3,00	1,00	8,00	1,00	6,00	1,00	10,00	5,00	1,00	9,00	0,00	1,00	0,00	0,00	2,00
1863	juge18	rang 6	Andros	1,00	10,00	4,00	6,00	2,00	3,00	2,00	0,00	7,00	2,00	3,00	1,00	4,00	3,00	4,00	3,00	8,00	7,00	5,00	9,00	1,00	1,00	3,00	3,00	7,00
2014	juge20	rang 1	Carrefour	6,00	1,00	8,00	1,00	1,00	6,00	6,00	2,00	1,00	3,00	0,00	1,00	5,00	5,00	6,00	6,00	4,00	4,00	3,00	4,00	7,00	6,00	5,00	4,00	8,00
2025	juge20	rang 2	Délisse	2,00	7,00	3,00	6,00	3,00	4,00	2,00	4,00	6,00	2,00	1,00	2,00	6,00	5,00	5,00	4,00	4,00	5,00	6,00	5,00	5,00	6,00	6,00	3,00	7,00
2032	juge20	rang 3	Scoup	4,00	5,00	4,00	3,00	5,00	4,00	2,00	1,00	7,00	3,00	2,00	3,00	3,00	3,00	6,00	4,00	4,00	5,00	5,00	5,00	4,00	6,00	4,00	3,00	3,00
2041	juge20	rang 4	Poti	3,00	5,00	3,00	2,00	2,00	4,00	2,00	1,00	3,00	2,00	4,00	1,00	5,00	2,00	7,00	6,00	8,00	5,00	4,00	6,00	1,00	2,00	0,00	2,00	5,00
2056	juge20	rang 5	St Mamet	6,00	4,00	7,00	5,00	2,00	5,00	4,00	5,00	3,00	2,00	1,00	2,00	4,00	3,00	6,00	3,00	5,00	5,00	7,00	7,00	6,00	5,00	5,00	2,00	2,00
2063	juge20	rang 6	Andros	5,00	6,00	6,00	6,00	5,00	5,00	5,00	3,00	6,00	2,00	3,00	4,00	2,00	4,00	6,00	4,00	6,00	5,00	3,00	6,00	6,00	7,00	4,00	4,00	7,00
2212	juge22	rang 1	Scoup	5,00	1,00	6,00	1,00	0,00	7,00	5,00	1,00	2,00	1,00	0,00	0,00	2,00	6,00	4,00	1,00	8,00	3,00	1,00	8,00	1,00	7,00	0,00	4,00	2,00
2224	juge22	rang 2	Carrefour	2,00	7,00	8,00	0,00	3,00	1,00	0,00	3,00	6,00	5,00	7,00	1,00	8,00	7,00	8,00	8,00	9,00	1,00	4,00	5,00	7,00	4,00	9,00	1,00	0,00
2236	juge22	rang 3	St Mamet	0,00	2,00	9,00	1,00	3,00	3,00	1,00	0,00	5,00	4,00	1,00	2,00	2,00	3,00	5,00	3,00	6,00	5,00	6,00	3,00	0,00	2,00	4,00	3,00	3,00
2245	juge22	rang 4	Délisse	4,00	8,00	5,00	2,00	1,00	4,00	1,00	1,00	6,00	5,00	2,00	0,00	9,00	7,00	8,00	7,00	8,00	2,00	6,00	4,00	8,00	2,00	7,00	1,00	2,00
2253	juge22	rang 5	Andros	4,00	7,00	7,00	1,00	3,00	6,00	1,00	0,00	8,00	4,00	3,00	2,00	2,00	4,00	8,00	7,00	7,00	6,00	3,00	8,00	3,00	9,00	6,00	1,00	0,00
2261	juge22	rang 6	Poti	1,00	0,00	5,00	0,00	0,00	4,00	1,00	0,00	7,00	3,00	6,00	0,00	2,00	1,00	6,00	4,00	7,00	5,00	3,00	6,00	0,00	1,00	0,00	0,00	1,00
2311	juge23	rang 1	Poti	1,00	8,00	8,00	3,00	1,00	0,00	0,00	6,00	4,00	5,00	0,00	0,00	3,00	1,00	2,00	3,00	6,00	1,00	1,00	3,00	1,00	2,00	1,00	4,00	6,00
2323	juge23	rang 2	Andros	3,00	5,00	2,00	5,00	1,00	3,00	6,00	0,00	2,00	0,00	0,00	1,00	1,00	2,00	2,00	3,00	7,00	1,00	2,00	3,00	3,00	5,00	3,00	7,00	7,00
2335	juge23	rang 3	Délisse	3,00	6,00	3,00	6,00	2,00	2,00	4,00	2,00	3,00	1,00	1,00	1,00	4,00	7,00	5,00	4,00	6,00	2,00	3,00	5,00	1,00	2,00	6,00	7,00	7,00
2346	juge23	rang 4	St Mamet	5,00	4,00	4,00	6,00	1,00	4,00	2,00	1,00	3,00	1,00	0,00	2,00	4,00	6,00	4,00	6,00	4,00	2,00	6,00	4,00	1,00	6,00	3,00	5,00	8,00
2354	juge23	rang 5	Carrefour	2,00	7,00	7,00	1,00	1,00	2,00	1,00	6,00	5,00	3,00	0,00	2,00	2,00	3,00	3,00	3,00	8,00	2,00	1,00	4,00	1,00	4,00	3,00	3,00	6,00
2362	juge23	rang 6	Scoup	4,00	3,00	2,00	3,00	4,00	3,00	1,00	2,00	7,00	2,00	5,00	1,00	0,00	2,00	2,00	4,00	3,00	4,00	3,00	4,00	1,00	7,00	1,00	4,00	5,00
2416	juge24	rang 1	St Mamet	2,00	8,00	8,00	3,00	1,00	1,00	1,00	1,00	8,00	4,00	6,00	0,00	2,00	4,00	8,00	1,00	2,00	7,00	7,00	5,00	1,00	8,00	3,00	3,00	8,00
2422	juge24	rang 2	Scoup	8,00	1,00	10,00	4,00	0,00	8,00	8,00	3,00	0,00	3,00	2,00	0,00	2,00	5,00	9,00	3,00	4,00	7,00	1,00	3,00	0,00	7,00	1,00	6,00	7,00
2433	juge24	rang 3	Andros	3,00	4,00	8,00	6,00	1,00	3,00	0,00	0,00	6,00	0,00	10,00	3,00	3,00	5,00	6,00	2,00	4,00	9,00	4,00	7,00	1,00	8,00	1,00	0,00	3,00
2444	juge24	rang 4	Carrefour	2,00	8,00	6,00	5,00	5,00	1,00	4,00	8,00	3,00	7,00	2,00	0,00	8,00	9,00	9,00	1,00	6,00	8,00	1,00	3,00	3,00	3,00	8,00	4,00	3,00
2451	juge24	rang 5	Poti	8,00	2,00	6,00	0,00	0,00	2,00	2,00	2,00	6,00	1,00	6,00	9,00	10,00	0,00	7,00	3,00	2,00	9,00	5,00	5,00	0,00	2,00	8,00	0,00	0,00
2465	juge24	rang 6	Délisse	4,00	6,00	9,00	6,00	4,00	7,00	5,00	4,00	7,00	4,00	2,00	1,00	9,00	9,00	9,00	7,00	1,00	7,00	6,00	2,00	2,00	3,00	10,00	5,00	6,00
2615	juge26	rang 1	Délisse	7,00	3,00	7,00	3,00	4,00	6,00	2,00	0,00	7,00	5,00	2,00	6,00	5,00	2,00	7,00	4,00	6,00	8,00	3,00	8,00	1,00	7,00	2,00	5,00	7,00
2623	juge26	rang 2	Andros	3,00	7,00	3,00	7,00	6,00	7,00	7,00	7,00	3,00	3,00	3,00	7,00	3,00	3,00	7,00	2,00	2,00	6,00	7,00	5,00	5,00	9,00	2,00	2,00	3,00
2634	juge26	rang 3	Carrefour	9,00	1,00	1,00	9,00	7,00	9,00	8,00	10,00	2,00	2,00	2,00	6,00	3,00	7,00	7,00	6,00	8,00	8,00	2,00	7,00	10,00	10,00	7,00	7,00	3,00
2641	juge26	rang 4	Poti	10,00	0,00	8,00	3,00	5,00	8,00	8,00	3,00	3,00	3,00	3,00	10,00	3,00	4,00	10,00	2,00	9,00	9,00	3,00	7,00	3,00	0,00	2,00	1,00	1,00
2652	juge26	rang 5	Scoup	10,00	0,00	3,00	10,00	9,00	9,00	9,00	9,00	3,00	3,00	3,00	3,00	7,00	7,00	5,00	2,00	6,00	3,00	9,00	7,00	6,00	10,00	1,00	0,00	2,00
2666	juge26	rang 6	St Mamet	6,00	4,00	8,00	6,00	6,00	8,00	8,00	2,00	7,00	2,00	2,00	5,00	5,00	6,00	7,00	5,00	2,00	6,00	9,00	4,00	2,00	9,00	6,00	4,00	5,00
2711	juge27	rang 1	Poti	4,00	6,00	5,00	1,00	1,00	1,00	2,00	6,00	7,00	1,00	1,00	2,00	7,00	8,00	1,00	2,00	7,00	5,00	3,00	3,00	1,00	1,00	3,00	7,00	8,00
2726	juge27	rang 2	St Mamet	7,00	4,00	3,00	8,00	1,00	6,00	5,00	4,00	2,00	1,00	1,00	2,00	6,00	6,00	2,00	2,00	3,00	7,00	6,00	2,00	5,00	2,00	6,00	5,00	4,00
2733	juge27	rang 3	Andros	3,00	6,00	7,00	2,00	4,00	4,00	5,00	7,00	3,00	1,00	1,00	4,00	6,00	4,00	4,00	3,00	6,00	5,00	3,00	6,00	4,00	2,00	5,00	6,00	4,00
2742	juge27	rang 4	Scoup	7,00	3,00	7,00	2,00	5,00	5,00	6,00	8,00	3,00	1,00	1,00	2,00	7,00	7,00	2,00	7,00	4,00	8,00	3,00	2,00	4,00	4,00	6,00	3,00	7,00
2755	juge27	rang 5	Délisse	3,00	8,00	6,00	7,00	1,00	3,00	6,00	4,00	5,00	1,00	1,00	2,00	7,00	7,00	2,00	4,00	2,00	8,00	5,00	2,00	3,00	3,00	6,00	7,00	8,00
2764	juge27	rang 6	Carrefour	4,00	7,00	7,00	5,00	2,00	2,00	3,00	5,00	8,00	3,00	1,00	2,00	7,00	7,00	2,00	3,00	7,00	6,00	2,00	3,00	2,00	2,00	7,00	7,00	7,00
2812	juge28	rang 1	Scoup	3,00	8,00	4,00	5,00	3,00	4,00	3,00	3,00	8,00	6,00	4,00	3,00	4,00	4,00	6,00	3,00	5,00	5,00	5,00	7,00	2,00	2,00	2,00	3,00	7,00
2824	juge28	rang 2	Carrefour	4,00	3,00	7,00	3,00	3,00	6,00	3,00	3,00	6,00	4,00	2,00	2,00	7,00	7,00	5,00	5,00	7,00	7,00	5,00	8,00	6,00	6,00	3,00	3,00	6,00
2836	juge28	rang 3	St Mamet	4,00	8,00	5,00	10,00	5,00	3,00	9,00	4,00	3,00	5,00	0,00	7,00	3,00	3,00	5,00	8,00	5,00	7,00	8,00	2,00	2,00	5,00	2,00	2,00	0,00
2845	juge28	rang 4	Délisse	4,00	7,00	3,00	0,00	7,00	3,00	1,00	1,00	8,00	4,00	1,00	4,00	4,00	4,00	4,00	5,00	7,00	7,00	7,00	5,00	2,00	6,00	8,00	3,00	7,00
2851	juge28	rang 5	Poti	4,00	8,00	3,00	0,00	6,00	0,00	0,00	0,00	4,00	3,00	0,00	0,00	0,00	0,00	3,00	2,00	5,00	5,00	5,00	3,00	0,00	2,00	0,00	0,00	0,00
2863	juge28	rang 6	Andros	5,00	5,00	6,00	4,00	5,00	7,00	2,00	2,00	8,00	5,00	2,00	3,00	5,00	5,00	4,00	4,00	7,00	6,00	6,00	7,00	2,00	5,00	9,00	3,00	5,00
2916	juge29	rang 1	St Mamet	2,00	8,00	8,00	6,00	3,00	3,00	3,00	4,00	8,00	5,00	2,00	1,00	6,00	8,00	5,00	3,00	3,00	7,00	7,00	2,00	2,00	6,00	5,00	8,00	8,00
2922	juge29	rang 2	Scoup	8,00	6,00	6,00	8,00	7,00	7,00	8,00	5,00	7,00	5,00	9,00	7,00	1,00	4,00	6,00	4,00	8,00	7,00	5,00	2,00	2,00	8,00	2,00	6,00	8,00
2931	juge29	rang 3	Poti	1,00	1,00	4,00	5,00	5,00	5,00	6,00	5,00	7,00	7,00	6,00	8,00	9,00	9,00	9,00	1,00	7,00	7,00	5,00	3,00	5,00	0,00	1,00	2,00	1,00
2944	juge29	rang 4	Carrefour	5,00	7,00	6,00	7,00	7,00	7,00	3,00	4,00	7,00	4,00	6,00	2,00	7,00	7,00	7,00	1,00	1,00	5,00	3,00	2,00	3,00	3,00	6,00	6,00	5,00
2953	juge29	rang 5	Andros	1,00	5,00	3,00	5,00	4,00	4,00	4,00	3,00	6,00	6,00	8,00	3,00	8,00	8,00	7,00	4,00	2,00	4,00	3,00	3,00	3,00	2,00	2,00	4,00	5,00
2965	juge29	rang 6	Délisse	2,00	2,00	6,00	6,00	5,00	8,00	3,00	2,00	7,00	7,00	4,00	3,00	8,00	8,00	7,00	7,00	2,00	6,00	7,00	6,00	3,00	3,00	6,00	7,00	8,00
3014	juge30	rang 1	Carrefour	5,00	7,00	9,00	2,00	1,00	6,00	3,00	1,00	9,00	2,00	0,00	0,00	1,00	8,00	3,00	3,00	6,00	8,00	1,00	6,00	6,00	6,00	4,00	7,00	8,00
3025	juge30	rang 2	Délisse	6,00	7,00	7,00	3,00	0,00	6,00	3,00	1,00	7,00	3,00	0,00	0,00	7,00	3,00	7,00	4,00	5,00	9,00	4,00	8,00	2,00	2,00	6,00	5,00	7,00
3032	juge30	rang 3	Scoup	3,00	3,00	8,00	3,00	1,00	8,00	4,00	1,00	4,00	0,00	0,00	3,00	1,00	5,00	7,00	4,00	5,00	9,00	5,00	5,00	6,00	7,00	5,00	3,00	8,00
3043	juge30	rang 4	Andros	3,00	3,00	6,00	2,00	1,00	6,00	3,00	1,00	8,00	1,00	0,00	3,00	3,00	4,00	9,00	5,00	7,00	9,00	3,00	4,00	1,00	6,00	4,00	5,00	7,00
3056	juge30	rang 5	St Mamet	2,00	2,00	8,00	1,00	1,00	6,00	5,00	2,00	7,00	0,00	0,00	3,00	6,00	5,00	5,00	6,00	3,00	8,00	6,00	5,00	2,00	6,00	6,00	4,00	4,00
3061	juge30	rang 6	Poti	4,00	1,00	6,00	1,00	1,00	6,00	6,00	2,00	5,00	2,00	0,00	5,00	10,00	2,00	7,00	3,00	8,00	9,00	3,00	4,00	2,00	2,00	1,00	2,00	1,00
3113	juge31	rang 1	Andros	2,00	8,00	6,00	5,00	1,00	7,00	1,00	6,00	4,00	2,00	0,00	4,00	9,00	9,00	0,00	6,00	7,00	2,00	1,00	7,00	5,00	0,00	8,00	4,00	5,00
3125	juge31	rang 2	Délisse	8,00	5,00	7,00	8,00	0,00	7,00	8,00	2,00	2,00	1,00	0,00	8,00	8,00	9,00	0,00	6,00	4,00	3,00	2,00	7,00	3,00	0,00	8,00	9,00	9,00
3131	juge31	rang 3	Poti	8,00	6,00	6,00	1,00	5,00	8,00	8,00	3,00	0,00	1,00	4,00	2,00	2,00	1,00	7,00	7,00	8,00	3,00	2,00	7,00	0,00	0,00	1,00	1,00	4,00
3144	juge31	rang 4	Carrefour	4,00	4,00	9,00	0,00	0,00	5,00	7,00	10,00	0,00	1,00	0,00	3,00	8,00	8,00	2,00	8,00	5,00	1,00	2,00	9,00	3,00	0,00	5,00	1,00	3,00
3152	juge31	rang 5	Scoup	6,00	8,00	5,00	3,00	6,00	7,00	8,00	4,00	3,00	1,00	9,00	1,00	8,00	8,00	0,00	3,00	1,00	3,00	8,00	4,00	1,00	8,00	5,00	0,00	1,00
3166	juge31	rang 6	St Mamet	2,00	6,00	8,00	0,00	0,00	7,00	6,00	8,00	4,00	1,00	0,00	6,00	7,00	8,00	2,00	5,00	5,00	2,00	6,00	7,00	5,00	0,00	8,00	8,00	7,00
3616	juge36	rang 1	St Mamet	2,00	7,00	8,00	4,00	1,00	6,00	5,00	5,00	8,00	6,00	1,00	2,00	2,00	5,00	7,00	3,00	2,00	6,00	6,00	7,00	5,00	9,00	2,00	3,00	3,00
3622	juge36	rang 2	Scoup	8,00	3,00	5,00	6,00	4,00	8,00	9,00	10,00	3,00	4,00	2,00	2,00	3,00	5,00	8,00	1,00	7,00	5,00	2,00	3,00	7,00	7,00	2,00	1,00	4,00
3634	juge36	rang 3	Carrefour	2,00	4,00	8,00	3,00	4,00	7,00	5,00	1,00	8,00	8,00	4,00	7,00	7,00	7,00	8,00	0,00	9,00	8,00	1,00	7,00	1,00	5,00	1,00	2,00	3,00
3641	juge36	rang 4	Poti	4,00	8,00	8,00	2,00	3,00	2,00	1,00	1,00	3,00	3,00	4,00	5,00	6,00	1,00	10,00	3,00	9,00	8,00	3,00	7,00	0,00	1,00	0,00	0,00	5,00
3655	juge36	rang 5	Délisse	5,00	5,00	9,00	7,00	2,00	7,00	5,00	1,00	7,00	8,00	1,00	9,00	9,00	8,00	5,00	4,00	6,00	4,00	4,00	9,00	7,00	2,00	6,00	1,00	4,00
3663	juge36	rang 6	Andros	7,00	2,00	4,00	1,00	1,00	4,00	7,00	2,00	6,00	7,00	3,00	8,00	9,00	6,00	9,00	5,00	4,00	7,00	6,00	7,00	8,00	8,00	1,00	1,00	6,00
3912	juge39	rang 1	Scoup	3,00	7,00	8,00	2,00	2,00	3,00	1,00	1,00	5,00	3,00	0,00	0,00	2,00	5,00	1,00	3,00	4,00	6,00	3,00	6,00	3,00	4,00	6,00	7,00	6,00
3921	juge39	rang 2	Poti	2,00	4,00	6,00	2,00	2,00	2,00	2,00	0,00	4,00	1,00	1,00	8,00	5,00	2,00	6,00	2,00	6,00	4,00	1,00	7,00	1,00	4,00	1,00	2,00	0,00
3936	juge39	rang 3	St Mamet	5,00	7,00	10,00	3,00	1,00	6,00	5,00	1,00	2,00	2,00	1,00	1,00	6,00	6,00	1,00	7,00	2,00	4,00	8,00	7,00	5,00	2,00	5,00	3,00	4,00
3944	juge39	rang 4	Carrefour	5,00	3,00	8,00	2,00	2,00	5,00	5,00	0,00	4,00	0,00	0,00	1,00	4,00	6,00	2,00	1,00	8,00	3,00	1,00	3,00	2,00	4,00	6,00	5,00	6,00
3953	juge39	rang 5	Andros	2,00	7,00	6,00	2,00	1,00	2,00	2,00	2,00	6,00	2,00	1,00	3,00	2,00	2,00	6,00	4,00	8,00	3,00	1,00	6,00	2,00	6,00	2,00	3,00	3,00
3965	juge39	rang 6	Délisse	2,00	7,00	8,00	2,00	1,00	2,00	2,00	0,00	6,00	1,00	0,00	1,00	7,00	7,00	2,00	5,00	2,00	6,00	1,00	7,00	3,00	1,00	7,00	6,00	8,00
