Bloc;Dose 1cm;Variété;Fractiont;Rdt;NG/m²;P1000g;QNgrain;QNveg;QNtot;INN;Prot;RdtP;NG/m²P;P1000gP;QNgrainP;QNvegP;QNtotP;INNP;ProtP;
3;2;NF;4;45,56;9592;47,5;98,0;42,7;140,7;0,696;12,26;67,51;13571;49,7;188,6;81,1;269,7;0,699;15,92;
1;3;A;1;71,67;15133;47,4;138,3;56,7;195,1;0,709;11,00;72,46;15697;46,2;138,5;67,3;205,7;0,673;10,89;
2;3;A;1;68,22;12322;55,4;103,7;40,3;143,9;0,720;8,66;72,46;15697;46,2;138,5;67,3;205,7;0,673;10,89;
3;3;A;1;82,26;14493;56,8;121,7;54,0;175,7;0,693;8,44;72,46;15697;46,2;138,5;67,3;205,7;0,673;10,89;
1;3;L;1;64,04;14025;45,7;119,1;54,0;173,1;0,688;10,60;57,14;14309;39,9;131,8;71,0;202,8;0,650;13,15;
2;3;L;1;67,78;12955;52,3;121,3;49,0;170,4;0,712;10,20;57,14;14309;39,9;131,8;71,0;202,8;0,650;13,15;
3;3;L;1;75,22;14510;51,8;121,1;63,9;185,0;0,654;9,18;57,14;14309;39,9;131,8;71,0;202,8;0,650;13,15;
1;3;N;1;61,58;14375;42,8;113,9;62,0;175,9;0,648;10,55;62,94;13081;48,1;125,7;76,7;202,5;0,621;11,39;
2;3;N;1;56,32;10889;51,7;110,9;37,1;148,0;0,750;11,23;62,94;13081;48,1;125,7;76,7;202,5;0,621;11,39;
3;3;N;1;51,81;11273;46,0;100,0;58,8;158,8;0,630;11,00;62,94;13081;48,1;125,7;76,7;202,5;0,621;11,39;
1;3;NF;1;63,43;15344;41,3;137,0;49,4;186,4;0,735;12,31;68,61;14011;49,0;137,0;69,1;206,0;0,665;11,38;
2;3;NF;1;64,77;13112;49,4;106,9;38,7;145,6;0,734;9,41;68,61;14011;49,0;137,0;69,1;206,0;0,665;11,38;
3;3;NF;1;67,78;14306;47,4;103,0;55,2;158,2;0,651;8,66;68,61;14011;49,0;137,0;69,1;206,0;0,665;11,38;
1;3;A;2;50,77;11618;43,7;112,7;46,5;159,2;0,708;12,65;72,30;16699;43,3;167,0;86,8;253,7;0,658;13,16;
2;3;A;2;64,68;12405;52,1;128,7;43,4;172,1;0,748;11,34;72,30;16699;43,3;167,0;86,8;253,7;0,658;13,16;
3;3;A;2;57,02;11033;51,7;102,6;47,3;150,0;0,684;10,26;72,30;16699;43,3;167,0;86,8;253,7;0,658;13,16;
1;3;L;2;74,24;15856;46,8;181,9;61,7;243,5;0,747;13,97;50,14;15254;32,9;157,4;93,4;250,8;0,628;17,90;
2;3;L;2;67,94;12907;52,6;144,0;74,8;218,8;0,658;12,08;50,14;15254;32,9;157,4;93,4;250,8;0,628;17,90;
3;3;L;2;67,34;13772;48,9;134,7;39,0;173,7;0,775;11,40;50,14;15254;32,9;157,4;93,4;250,8;0,628;17,90;
1;3;N;2;45,36;10853;41,8;96,2;67,0;163,2;0,589;12,08;66,64;13949;47,8;151,3;99,2;250,5;0,604;12,94;
2;3;N;2;53,18;11252;47,3;131,9;41,7;173,6;0,760;14,14;66,64;13949;47,8;151,3;99,2;250,5;0,604;12,94;
3;3;N;2;40,42;8502;47,5;90,5;51,2;141,7;0,639;12,77;66,64;13949;47,8;151,3;99,2;250,5;0,604;12,94;
1;3;NF;2;54,99;12525;43,9;129,8;45,3;175,1;0,741;13,45;79,19;14903;53,1;165,3;88,7;254,0;0,651;11,90;
2;3;NF;2;52,37;9986;52,4;122,5;61,2;183,7;0,667;13,34;79,19;14903;53,1;165,3;88,7;254,0;0,651;11,90;
3;3;NF;2;62,53;12441;50,3;125,7;49,4;175,1;0,718;11,46;79,19;14903;53,1;165,3;88,7;254,0;0,651;11,90;
1;3;A;3;72,03;13858;52,0;161,4;55,6;217,0;0,744;12,77;73,51;15697;46,8;181,5;72,2;253,7;0,715;14,07;
2;3;A;3;83,58;14974;55,8;168,8;56,8;225,7;0,748;11,51;73,51;15697;46,8;181,5;72,2;253,7;0,715;14,07;
3;3;A;3;46,41;8914;52,1;91,4;34,8;126,2;0,724;11,23;73,51;15697;46,8;181,5;72,2;253,7;0,715;14,07;
1;3;L;3;83,06;17090;48,6;176,1;55,0;231,0;0,762;12,08;57,14;14309;39,9;173,7;77,1;250,8;0,693;17,33;
2;3;L;3;71,51;14044;50,9;163,1;68,9;231,9;0,703;13,00;57,14;14309;39,9;173,7;77,1;250,8;0,693;17,33;
3;3;L;3;63,30;12804;49,4;139,9;63,8;203,7;0,687;12,60;57,14;14309;39,9;173,7;77,1;250,8;0,693;17,33;
1;3;N;3;56,20;12185;46,1;115,8;41,6;157,4;0,736;11,74;63,52;13081;48,6;168,5;81,9;250,5;0,673;15,13;
2;3;N;3;73,31;14049;52,2;203,8;64,0;267,8;0,761;15,85;63,52;13081;48,6;168,5;81,9;250,5;0,673;15,13;
3;3;N;3;40,06;8584;46,7;93,7;40,5;134,2;0,698;13,34;63,52;13081;48,6;168,5;81,9;250,5;0,673;15,13;
1;3;NF;3;76,88;16186;47,5;199,1;63,0;262,1;0,760;14,76;69,50;14011;49,6;179,8;74,2;254,0;0,708;14,75;
2;3;NF;3;53,91;11379;47,4;125,1;55,0;180,1;0,694;13,22;69,50;14011;49,6;179,8;74,2;254,0;0,708;14,75;
3;3;NF;3;51,38;10405;49,4;111,0;40,6;151,6;0,732;12,31;69,50;14011;49,6;179,8;74,2;254,0;0,708;14,75;
1;3;A;4;75,20;16214;46,4;204,5;80,4;284,9;0,718;15,50;73,03;16699;43,7;209,3;92,4;301,7;0,694;16,34;
2;3;A;4;87,52;18551;47,2;210,1;81,9;292,0;0,719;13,68;73,03;16699;43,7;209,3;92,4;301,7;0,694;16,34;
3;3;A;4;69,12;15066;45,9;168,0;56,8;224,8;0,747;13,85;73,03;16699;43,7;209,3;92,4;301,7;0,694;16,34;
1;3;L;4;68,45;14283;47,9;162,2;63,5;225,7;0,719;13,51;50,14;15254;32,9;196,9;101,9;298,8;0,659;22,39;
2;3;L;4;81,92;16835;48,7;200,7;69,2;269,9;0,744;13,97;50,14;15254;32,9;196,9;101,9;298,8;0,659;22,39;
3;3;L;4;75,93;16330;46,5;169,3;67,8;237,1;0,714;12,71;50,14;15254;32,9;196,9;101,9;298,8;0,659;22,39;
1;3;N;4;56,13;12809;43,8;138,6;65,2;203,9;0,680;14,08;67,31;13949;48,3;193,7;104,8;298,5;0,649;16,40;
2;3;N;4;63,98;13041;49,1;175,3;80,8;256,1;0,685;15,62;67,31;13949;48,3;193,7;104,8;298,5;0,649;16,40;
3;3;N;4;49,38;11813;41,8;123,4;91,4;214,9;0,575;14,25;67,31;13949;48,3;193,7;104,8;298,5;0,649;16,40;
1;3;NF;4;60,23;12880;46,8;167,4;62,7;230,1;0,728;15,85;80,80;14903;54,2;208,2;93,8;302,0;0,689;14,69;
2;3;NF;4;73,03;14713;49,6;188,4;75,4;263,8;0,714;14,71;80,80;14903;54,2;208,2;93,8;302,0;0,689;14,69;
3;3;NF;4;50,45;11656;43,3;116,0;76,1;192,1;0,604;13,11;80,80;14903;54,2;208,2;93,8;302,0;0,689;14,69;
