Consommateur;Produit;Appréciation;Ferme;Juteux;Sucré;Amer;Odeur intense;Acide;Croquant;Goûteux;Granuleux;Mou;Sans odeur;Sans goût;Farineux;Goût de pomme;Astringent
15;257;8;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0
15;366;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
15;548;9;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0
15;992;3;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0
15;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0
16;106;5;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0
16;257;8;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1
16;366;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
16;548;6;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1
16;992;7;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0
16;Ideal;;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1
17;106;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0
17;257;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
17;366;5;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0
17;548;9;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0
17;992;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
17;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0
18;106;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
18;257;9;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0
18;366;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
18;548;9;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
18;992;6;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
18;Ideal;;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
19;106;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
19;257;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;366;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
19;548;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19;992;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
19;Ideal;;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0
20;106;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
20;257;9;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
20;366;9;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
20;548;9;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0
20;992;9;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
20;Ideal;;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0
21;106;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0
21;257;5;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0
21;366;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
21;548;5;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0
21;992;7;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0
21;Ideal;;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0
22;106;2;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0
22;257;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
22;366;9;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
22;548;9;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0
22;992;5;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0
22;Ideal;;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0
23;106;9;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0
23;257;9;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0
23;366;7;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0
23;548;9;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0
23;992;7;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0
23;Ideal;;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0
24;106;9;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0
24;257;9;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0
