"abies";"acer";"alnusfru";"alnusund";"apiaceae";"artemisia";"asterund";"betunana";"betula";"brassicaceae";"carpinus";"chenopodiaceae";"corylus";"cyperaceae";"ephedra";"ericaceae";"fagus";"fraxinus";"juniperus";"larix";"olea";"picea";"pinushap";"pinus";"plantago";"poaceae";"quercusever";"quercusdec";"salix";"tilia";"ulmus";"gdd5";"mtco";"pann";"e_pe";"tann";"mtwa";"long";"lati";"alti";"biome"
"e140";0;0;0;2.03;0.14;0.41;0;13.8;20.84;0;0;0;0;15.43;0;0.41;0;0;0.41;0;0;10.55;0;30.31;0;5.41;0;0;0.27;0;0;676.928;-12.008;526.003;100.49;-0.062;13.367;29.12;65.55;265;"COMX"
"e141";0;0;0;12.57;0;0;0;0;26.11;0;0;0.12;0;16.05;0;7.54;0;0;0.36;0;0;1.92;0;27.54;0.12;4.79;0;0;2.87;0;0;738.302;-9.259;506.289;97.152;1.297;13.635;24.41;65.013;8;"COMX"
"e142";0;0;0;0.99;0;0;0.17;0;61.09;0;0;0;0;2.48;0;0.33;0;0;0;0;0;0.33;0;33.77;0;0.83;0;0;0;0;0;729.991;-9.34;491.857;97.221;1.226;13.594;24.473;65.03;7;"COMX"
"e154";0;10.11;0;13.93;0.67;1.8;1.12;0;2.47;1.57;2.7;0.67;0.45;0;0;1.12;0.22;0;0;0;0;0.22;0;30.11;1.35;20;0;9.21;1.57;0;0.67;1757.12;-1.895;589.794;87.996;7.913;18.4;17.2325;52.3325;109;"TEDE"
"e155";0;0;0;6.03;0.09;0.82;0;0;25.96;0;0.09;0.09;0.64;1.37;0;0.27;0.18;0.18;4.75;0;0;14.72;0;35.92;0.46;5.3;0;1.55;0.55;0.73;0.27;1208.495;-6.186;702.817;97.691;4.536;16.21;14.32;57.38;308;"COMX"
"e165";0;0;0;11.85;0.23;0.68;0.46;0;12.3;0;0;1.59;2.73;3.19;0;0.46;13.9;0.91;0;0;0;3.42;0;14.81;0.23;22.1;0;7.52;0.46;0.23;2.96;1415.982;-3.238;599.79;91.946;6.384;17.065;13.44;55.3;43;"COMX"
"e169";0;0;0;0.41;0.07;0.07;0.07;0;8.78;0;0.07;0.07;0;0;0;0.41;0.2;0;0;0;0;0.2;0;54.25;0.34;11.57;0;23.35;0.07;0;0.07;1510.157;-2.985;612.522;90.023;6.649;17.306;17.1705;54.4225;1;"COMX"
"e194";0;0;1.89;7.26;0;0.63;0;3.79;26.81;0;0;0;0;0;0;0.32;0;0;0;0.32;0;2.84;0;53;0;3.15;0;0;0;0;0;550.864;-29.868;296.024;89.982;-8.146;13.367;121.37;63.49;120;"COCO"
"e195";0;0;0.38;11.79;0;1.9;0;9.51;36.12;0;0;0.76;0;3.42;0;0.38;0;0;0;11.41;0;0.38;3.04;4.94;0;12.55;0;0;3.42;0;0;559.457;-29.626;325.121;94.553;-8.027;13.401;120.58;64.5;160;"COCO"
"e197";0;0;1.56;7.42;0.78;1.95;0;7.42;25.78;0;0;0;0;4.69;0;4.69;0;0;0;2.34;0;1.95;27.34;11.72;0;1.56;0;0;0.78;0;0;791.251;-24.899;488.86;92.178;-4.499;15.119;124.07;57.02;700;"COCO"
"e198";0;0;0;14.25;0;0;5.16;0;4.18;0.25;0;0.74;4.91;8.85;0;0.25;0;0.25;0;0;0;0;0;0;4.67;52.83;0;3.19;0.49;0;0;1923.891;0.718;739.6;86.049;9.207;18.592;0.41;50.54;3;"COMX"
"e202";0;0;0;1.02;0.34;0;0;0;1.02;0;0;0;1.71;2.73;0;76.11;0;0.68;0;0;0;0;0;0;1.37;12.97;0;2.05;0;0;0;1796.043;-0.214;1290.992;95.985;8.652;18.234;-10.183;52.12;84;"COMX"
"e215";0;0;0;2.82;0;0.19;1.13;0;15.82;0.19;0;0.19;0.38;33.33;0;2.45;0;0;5.08;0;0;0;0;21.28;0.19;15.63;0;1.13;0.19;0;0;1088.256;-7.967;1441.843;103.107;3.344;15.506;6.1;59.42;570;"COMX"
"e216";0;0;0;9.95;0;0;0;0;31.28;0;0;0;4.88;0;0;2.71;0;0;4.34;0;0;1.27;0;43.76;0.18;0;0;0.36;0.18;0.72;0.36;856.07;-6.765;971.566;98.245;2.828;14.174;8.42;63.42;45;"COMX"
"e258";0.28;0;0;1.99;1.14;0.85;0.28;0;1.14;0.85;0;0;4.27;17.66;0;9.97;0;0.28;0;0;0;0;0;0.28;0.28;42.17;0;17.95;0.57;0;0;2249.753;-0.239;878.898;66.154;10.299;20.281;-6.44;42.06;1050;"WAST"
"e281";0;0;0;11.82;0;0;0.91;0;27.73;0;0;0;2.73;2.73;0;0;0;0;0;0;0;9.09;0;39.09;0;2.73;0;1.36;0;0.91;0.91;1133.933;-8.768;673.07;100.667;3.136;15.808;25.38;58.16;506;"COMX"
"e287";0;0;0;1.67;0.51;0.26;1.03;0;1.92;0.51;0;0.38;1.03;6.67;0;0.13;0;0.26;0;0;0;0;0;0.77;1.41;78.46;0;2.95;0.13;0.26;1.67;1583.741;-1.409;782.224;98.473;7.543;17.507;-2.063;52.483;70;"WAST"
"e296";0;0;0;1.53;0.02;0.02;0.18;0;3.34;0.1;0;0.14;1.65;0.22;0;52.52;0.37;0;0;0;0;0.16;0;3.11;0.57;34.41;0;1.45;0.08;0;0.12;1641.919;-1.251;721.91;95.704;7.769;17.763;8.455;53.4;2;"COMX"
"e297";0;0;0;7.8;0.15;0;1.26;0;18.72;0.52;0.07;0.37;6.61;12.93;0;7.21;0.97;0.45;0;0;0;0;0;3.57;4.68;28.75;0;4.98;0.74;0.07;0.15;1641.919;-1.251;721.91;95.704;7.769;17.763;8.455;53.4;2;"COMX"
"e298";0;0;0;7.76;0.23;0.11;0.91;0;27.4;0.8;0.8;1.37;20.89;4.34;0;0.34;2.4;0.23;0;0;0;0.11;0;12.56;1.26;12.67;0;5.37;0.34;0.11;0;1640.458;-1.259;722.461;95.755;7.762;17.758;8.44;53.42;2;"COMX"
"e302";0;0;0;8.91;0;0.81;1.62;0;31.98;0;0.81;1.21;5.26;2.83;0;0;0;0;0;0;0;4.05;0;38.46;0;3.24;0;0.81;0;0;0;1183.76;-5.783;570.94;92.803;4.511;16.052;22.12;58.23;32;"COMX"
"e303";0;0;0;10.84;0;0;0.96;0;22.17;0;0;0;4.1;1.2;0;0.72;0;0;0;0;0;15.42;0;39.28;0;1.93;0;0.24;0;1.2;1.93;1070.611;-7.01;576.975;94.35;3.642;15.551;25;59.26;32;"COMX"
"e307";0;0;0;10.73;0;0.38;0;0;19.54;0;0;0.77;5.36;1.53;0;7.66;0;0;0;0;0;10.73;0;37.16;0;2.68;0;0.77;1.92;0;0.77;1178.024;-5.839;573.368;92.953;4.459;16.002;22.23;58.28;33;"COMX"
"e309";2.52;0;0;0.42;0;0;0.42;0;0;0;0;0;0;26.47;0.42;0;0.42;0;0;0.42;2.94;0.84;0.42;61.34;0.84;1.26;0;0.84;0.42;0;0;1224.272;-11.261;1253.17;99.665;3.244;16.742;7.414;44.09;1905;"TEDE"
"e335";0;0;0;10.88;0.42;0;24.27;0;3.35;0.42;0.42;0.84;6.69;21.76;0;2.09;0.42;0;0;0;0;0;0;4.18;0.42;12.97;0;8.79;0;0.42;1.67;1913.382;0.513;738.095;91.228;9.094;18.575;3.5641;51.0104;4;"TEDE"
"e339";0;0.34;0;2.76;0;1.03;2.41;0;1.03;0;0;0;2.76;7.24;0;20.69;6.21;0;0;0;2.07;0;0;13.79;4.83;27.59;0.69;5.86;0.34;0;0.34;3085.903;4.32;677.172;63.638;13.267;21.885;-2.43;43.03;625;"TEDE"
"e343";0;0.28;0;3.63;0.28;0;1.4;0;0.56;0;0;1.4;3.91;5.03;0;13.41;6.98;0.56;0;0;2.23;0;0;14.53;3.07;29.33;1.12;11.45;0.56;0;0.28;3127.631;4.808;905.802;75.744;13.47;21.911;-1.33;43.15;500;"COMX"
"e348";0.55;0;0;0;0.27;0.55;0.27;0;0.27;0.82;0;0.27;0.55;46.85;0.27;0;0;0;1.64;0;0.55;0.55;0;35.89;1.37;5.75;0;3.01;0.27;0;0.27;1722.794;-5.301;959.905;93.327;7.07;18.816;6.2011;44.2512;1308;"WAST"
"e358";3.01;0;0;1.5;0;0.75;3.76;0;0;0.75;3.76;0;2.26;33.83;0;0;0.75;0.75;1.5;0;0;2.26;0;18.05;0;20.3;0;6.02;0.75;0;0;2567.377;1.573;882.2;88.684;11.406;20.973;5.363;45.253;650;"TEDE"
"e370";0;0;0;0;3.62;5.8;47.83;0;0;4.35;0.72;27.54;0;2.17;0;0;0;0;0;0;0;2.17;0;1.45;0;2.9;0;1.45;0;0;0;3613.144;5.816;568.57;56.365;14.605;23.222;28.33;43.4;4;"WAST"
"e401";0;0.18;0;13.01;0;0;0;0;23.37;0;0.18;0;1.76;0.35;0;36.56;0.18;0;0;0;0;0;0;19.68;0;1.76;0;0.7;1.93;0;0.35;1193.626;-6.183;578.267;93.63;4.4;16.111;24.4;58;55;"COMX"
"e404";0.12;0.24;0;6.18;0.24;3.92;3.44;0;19.36;1.43;0.36;1.54;1.54;1.19;0;0.48;0.36;0;0;0;0;0.24;0;25.42;1.54;25.65;0;5.23;0.59;0.48;0.48;1756.189;-1.89;587.476;87.938;7.919;18.406;17.2138;52.33;109;"COMX"
