Produit;Juge;Rang;intensite;frais;fleuri;sucre;boise;vanille;epice;fruite;entetant;agrume;animal;vegetal
ChanelN5;24;4;7;2;5;2;3;6;8;1;9;1;8;7
Angel;24;5;6;6;7;9;7;8;3;5;3;5;2;8
HypnoticPoison;24;6;7;2;8;4;7;NA;9;2;5;3;7;8
Flower;24;7;6;9;7;8;2;2;2;3;4;3;2;3
Shalimar;24;8;3;4;9;6;7;1;2;8;2;9;1;8
MissDior;24;9;2;9;7;6;2;2;5;7;1;6;0;6
LaPetiteRobeNoire;24;10;5;3;7;3;6;2;2;7;1;7;0;6
AmorAmor;24;11;3;7;4;7;3;1;2;8;4;8;1;7
Trésor;24;12;8;5;6;8;7;0;7;2;8;2;6;3
CocoMademoiselle;25;1;7;7;8;6;4;1;2;2;5;0;4;6
LolitaLempika;25;2;7;5;7;9;4;4;3;7;6;0;3;6
Angel;25;3;9;4;8;6;3;3;7;8;0;4;4;7
HypnoticPoison;25;4;3;6;5;10;5;7;2;7;5;0;2;5
ChanelN5;25;5;4;9;6;0;1;1;0;1;8;1;0;2
Flower;25;6;3;8;7;5;7;4;1;3;4;0;1;5
Trésor;25;7;4;6;6;4;5;4;2;3;3;1;0;5
AmorAmor;25;8;3;6;7;5;7;5;1;3;3;0;0;5
MissDior;25;9;7;7;7;6;6;3;1;6;7;0;3;4
LaPetiteRobeNoire;25;10;6;6;5;6;7;3;3;5;4;0;4;5
Shalimar;25;11;4;6;4;2;8;2;4;3;4;6;1;5
JAdore;25;12;6;4;9;5;8;4;1;5;5;2;3;8
LolitaLempika;26;1;9;5;6;4;7;8;5;7;7;4;7;2
HypnoticPoison;26;2;5;8;9;5;7;7;5;8;5;2;0;8
CocoMademoiselle;26;3;10;5;10;5;8;3;6;6;8;7;1;3
Flower;26;4;10;10;8;3;3;1;2;10;10;7;0;7
Angel;26;5;9;2;10;3;9;7;3;2;8;7;1;5
AmorAmor;26;6;8;6;7;5;4;3;3;7;8;6;1;8
ChanelN5;26;7;10;6;9;7;3;2;4;2;10;9;3;4
LaPetiteRobeNoire;26;8;9;7;4;7;6;8;4;9;5;7;2;4
Trésor;26;9;6;5;7;7;4;7;5;7;4;4;3;7
JAdore;26;10;10;10;9;5;4;4;6;5;10;8;2;8
MissDior;26;11;5;3;3;7;9;6;8;4;4;4;7;3
Shalimar;26;12;9;3;7;4;3;2;8;8;10;10;2;8
HypnoticPoison;27;1;6;7;7;3;5;9;5;7;5;6;0;8
Flower;27;2;7;6;7;5;5;0;7;6;5;7;1;5
LolitaLempika;27;3;5;3;6;4;4;6;3;5;5;5;0;7
AmorAmor;27;4;7;6;8;9;6;3;7;8;5;9;0;8
CocoMademoiselle;27;5;4;3;4;3;5;4;4;4;5;5;0;4
LaPetiteRobeNoire;27;6;7;6;8;8;5;5;2;8;5;5;0;8
Angel;27;7;3;3;7;8;0;0;3;3;5;3;8;0
JAdore;27;8;8;7;8;8;7;0;5;5;5;7;1;3
ChanelN5;27;9;8;0;2;1;5;0;1;2;5;1;5;0
Shalimar;27;10;6;6;4;3;5;1;5;3;5;4;0;3
Trésor;27;11;8;2;8;8;5;6;2;9;5;3;0;9
MissDior;27;12;5;3;6;8;NA;8;2;7;NA;1;0;8
Flower;28;1;8;7;4;6;5;8;8;3;7;4;4;6
AmorAmor;28;2;6;8;7;7;6;8;4;5;4;7;2;3
HypnoticPoison;28;3;7;2;6;6;7;7;7;3;8;2;4;3
LaPetiteRobeNoire;28;4;6;6;8;7;2;8;7;3;6;7;5;3
LolitaLempika;28;5;8;2;7;5;6;6;5;7;6;7;3;6
JAdore;28;6;6;7;8;7;5;8;7;4;6;3;4;7
CocoMademoiselle;28;7;8;3;6;5;6;7;7;4;7;5;4;4
Shalimar;28;8;9;1;4;3;8;7;8;2;8;2;6;3
Angel;28;9;5;8;4;4;4;5;4;7;6;4;4;5
MissDior;28;10;7;7;8;7;7;6;7;4;6;4;6;5
ChanelN5;28;11;8;2;6;7;8;7;7;7;8;3;7;4
Trésor;28;12;7;6;7;7;7;7;7;6;7;3;6;4
AmorAmor;29;1;7;2;8;7;0;3;8;3;9;0;0;0
LaPetiteRobeNoire;29;2;5;3;2;1;7;0;2;0;4;0;0;5
Flower;29;3;3;8;6;4;8;6;4;1;1;0;0;2
JAdore;29;4;6;8;5;7;1;7;7;7;3;0;0;3
HypnoticPoison;29;5;5;1;1;2;9;9;0;1;8;0;4;0
Shalimar;29;6;8;3;0;0;9;0;6;2;5;6;0;0
LolitaLempika;29;7;7;3;4;3;6;0;6;2;8;0;0;0
MissDior;29;8;5;7;6;2;6;6;0;2;3;0;0;6
CocoMademoiselle;29;9;5;8;5;4;1;2;5;3;3;0;0;5
Trésor;29;10;4;1;1;0;6;7;0;5;1;3;4;5
Angel;29;11;6;1;0;0;10;8;9;3;5;2;3;1
ChanelN5;29;12;6;7;8;2;5;2;0;3;3;0;0;7
LaPetiteRobeNoire;30;1;7;5;2;9;2;3;2;4;6;2;2;1
JAdore;30;2;8;8;8;4;3;1;2;4;8;3;1;5
AmorAmor;30;3;5;8;5;5;3;1;5;6;5;8;1;3
Shalimar;30;4;10;1;1;0;5;1;8;1;10;1;6;2
Flower;30;5;6;8;6;7;1;1;2;2;7;2;1;1
MissDior;30;6;8;8;8;8;1;2;2;5;8;2;0;0
HypnoticPoison;30;7;7;3;6;10;1;8;1;1;9;1;1;1
Trésor;30;8;4;4;4;5;1;1;1;2;5;8;1;3
LolitaLempika;30;9;8;7;7;9;2;1;1;4;9;1;1;3
ChanelN5;30;10;9;9;1;1;1;0;0;7;10;9;2;3
CocoMademoiselle;30;11;9;8;8;7;1;1;3;4;8;1;1;2
Angel;30;12;9;2;2;0;8;1;4;1;9;1;6;3
JAdore;31;1;7;9;6;2;2;1;0;3;5;5;1;6
Shalimar;31;2;9;3;0;5;8;1;7;7;8;6;9;8
LaPetiteRobeNoire;31;3;4;8;7;8;3;3;0;6;9;5;2;7
MissDior;31;4;8;6;8;7;6;5;1;3;7;8;6;8
AmorAmor;31;5;7;9;10;3;5;2;2;6;8;5;3;6
Trésor;31;6;7;3;6;2;6;2;6;4;9;2;8;2
Flower;31;7;7;9;10;2;3;1;2;10;8;6;5;8
ChanelN5;31;8;9;1;3;3;8;4;2;0;9;2;9;4
HypnoticPoison;31;9;8;4;4;8;9;6;4;3;7;3;7;5
Angel;31;10;8;3;4;3;7;2;1;6;7;4;7;6
LolitaLempika;31;11;6;8;7;5;2;6;5;4;6;7;3;7
CocoMademoiselle;31;12;6;4;5;5;7;3;4;7;8;7;7;7
Shalimar;32;1;8;7;7;4;6;2;2;3;2;7;1;8
MissDior;32;2;6;3;8;4;6;3;7;3;8;4;2;6
JAdore;32;3;8;2;3;2;3;2;1;2;9;7;1;2
Trésor;32;4;6;2;2;7;5;2;7;3;8;2;6;7
LaPetiteRobeNoire;32;5;7;7;8;5;4;7;7;7;6;3;4;7
ChanelN5;32;6;9;3;3;2;2;1;1;1;9;2;1;2
AmorAmor;32;7;6;6;6;6;8;2;7;8;7;8;3;7
Angel;32;8;6;3;6;3;7;3;4;7;7;7;3;6
Flower;32;9;7;6;3;2;3;2;2;2;6;2;3;2
CocoMademoiselle;32;10;6;6;4;6;7;3;6;6;6;6;2;7
HypnoticPoison;32;11;7;6;4;6;3;7;7;4;7;3;3;3
LolitaLempika;32;12;6;6;7;6;6;7;8;3;7;2;4;4
MissDior;33;1;7;8;5;2;4;2;2;2;6;6;1;5
Trésor;33;2;7;0;1;1;6;1;4;1;10;8;3;3
Shalimar;33;3;8;1;2;0;10;1;9;0;10;0;3;8
ChanelN5;33;4;8;3;3;1;0;1;5;4;9;5;0;8
JAdore;33;5;7;3;7;3;0;4;5;8;5;4;2;4
Angel;33;6;10;6;9;2;8;2;8;1;6;8;3;4
LaPetiteRobeNoire;33;7;7;7;4;0;0;2;4;7;8;8;2;5
CocoMademoiselle;33;8;1;8;5;4;1;4;7;8;2;3;1;4
AmorAmor;33;9;8;4;4;7;0;4;2;8;6;7;3;2
LolitaLempika;33;10;8;1;3;2;2;4;2;7;7;2;3;4
Flower;33;11;7;7;5;2;5;6;5;2;6;2;3;4
HypnoticPoison;33;12;5;7;7;4;6;1;5;3;7;4;5;3
Trésor;34;1;9;3;4;5;6;3;7;5;10;5;7;3
ChanelN5;34;2;9;1;2;1;8;3;4;2;10;5;9;5
MissDior;34;3;6;7;8;7;10;6;7;9;7;7;6;8
Angel;34;4;10;4;6;7;10;4;8;4;10;3;6;5
Shalimar;34;5;6;4;8;5;9;4;8;3;10;3;9;7
CocoMademoiselle;34;6;5;8;9;10;7;7;5;9;7;8;6;6
JAdore;34;7;2;6;4;5;7;5;8;8;10;9;1;4
LolitaLempika;34;8;7;9;10;10;5;7;5;10;7;8;4;7
LaPetiteRobeNoire;34;9;9;7;7;8;7;7;8;9;9;8;8;5
HypnoticPoison;34;10;5;1;4;6;10;10;6;7;8;3;7;8
AmorAmor;34;11;8;10;10;10;5;6;9;9;9;9;7;10
