Produit;intensite émission de bulles;nombre de bulles;taille des bulles;hétérogénéité des bulles;effervescence;intensité gustative globale;saveur amère;saveur sucrée;saveur acide;saveur salée;saveur alcaline;appréciation globale;intensité de crépitement
St Yorre;3.875;4.46875;5.890625;5.609375;5.484375;6.025;3.390625;3.09375;2.859375;6.4375;4.814583333;2.889583333;5.09375
Badoit;3.125;5.109375;4.53125;3.765625;3.852083333;4.819345238;3.795833333;2.625;2.71875;4.734375;4.5;2.890625;3.3125
Vichy;1.375;4.15625;1.75;2.109375;2.3125;4.280208333;2.875;2.859375;2.09375;6;5;2.828125;1.5625
Quézac;5.078125;4.671875;5.875;6.171875;6.64375;5.765625;3.859375;2.578125;3.8125;4.6875;4.296875;3.5;5.890625
Arvie;3.0625;4.953125;4.9375;4.75;3.75;5.477884615;3.09375;3.171875;2.96875;5.21875;4.984375;2.859375;3.796875
Chateauneuf;3.265625;4.546875;4.71875;5.1875;4.113541667;4.86264881;3.703125;2.78125;3.046875;5.234375;4.609375;3.34375;3.8125
Salvetat;2.859375;5.015625;4.46875;4.40625;3.958333333;5.185096154;4.03125;2.8125;3;4.09375;4.53125;3.421875;3.5
Perrier;8.1875;7.734375;5.875;6.8125;9.3125;6.754464286;4.396875;2.171875;4.03125;4.890625;3.90625;2.828125;8.96875
