Ingestions;Gains
22.1;129.28
22.3;118.88
22.5;119.59
23;122.73
24.9;133.66
25.1;152.31
25.1;148.27
26.1;162.36
27.4;162.67
27.9;182.2
28.1;179.3
29.5;176.7
30.6;169.37
31;171.25
31.4;182.52
32.2;177.04
33;179.82
34.5;185.96
