Poids;Sexe
1150;M
1500;M
1700;M
1800;M
1800;M
1850;M
2200;M
2700;M
2900;M
3000;M
3100;M
3500;M
3900;M
4000;M
5400;M
300;F
700;F
850;F
900;F
1000;F
1420;F
1500;F
1500;F
1800;F
1800;F
1900;F
2200;F
2400;F
