;20 minutes;Le Figaro;Libération;Le Monde
Pape        ;17;46;35;128
Jean-Paul   ;16;44;27;104
Rome        ;5;15;7;50
Eglise    ;10;9;23;115
Catholiques ;6;6;9;47
Fidèles    ;8;17;3;6
Mort - décès - dépouille - corps  ;11;48;21;14
Avortement - préservatif - sida  ;7;0;7;24
