Produit;Sucre;Acide;Amer;Pulpeux;Appréciation
1;6.21;7.08;2.00;2.54;4.97
2;7.75;3.29;1.54;2.26;6.98
3;7.21;4.38;1.79;2.58;4.58
4;8.33;2.79;1.63;2.71;6.45
5;4.87;7.71;1.96;1.70;4.33
6;5.09;7.50;2.13;2.42;4.26
7;6.04;6.58;2.04;2.04;6.16
8;6.09;5.13;2.00;2.42;6.26
9;6.08;5.50;2.09;2.46;5.83
10;6.17;5.58;2.13;2.48;5.74
11;7.17;3.54;1.52;2.33;6.80
12;7.08;3.25;1.46;2.17;6.12
13;4.30;8.33;2.29;1.58;4.02
14;5.61;5.13;2.13;1.81;6.05
15;4.52;8.33;2.48;1.74;3.53
16;4.70;6.39;2.17;1.79;5.10
