Temp;Energie
3;-0.07036
6;-0.07127
9;-0.07244
12;-0.07312
15;-0.07440
18;-0.07582
21;-0.07685
24;-0.07786
27;-0.07891
30;-0.08033
33;-0.08187
36;-0.08426
39;-0.08753
42;-0.09356
45;-0.10380
48;-0.11570
51;-0.12400
54;-0.12830
57;-0.13060
60;-0.13210
63;-0.13320
66;-0.13470
69;-0.13620
72;-0.13710
75;-0.13820
78;-0.13910
81;-0.14000
84;-0.14130
87;-0.14280
90;-0.14430
