;Père - 20 ans;Père 20 à 24 ans;Père 25 à 29 ans;Père 30 à 34 ans;Père 35 à 39 ans;Père 40 à 44 ans;Père 45 à 49 ans;Père 50 à 54 ans;Père 55 à 59 ans;Père + 60 ans;Père + 55
Mère - 20 ans;2085;9723;1771;648;179;70;29;10;6;1;7
Mère 20 à 24 ans;870;30070;48288;13785;4369;1631;587;192;80;33;113
Mère 25 à 29 ans;133;7967;104614;95055;26259;8826;2927;949;367;132;499
Mère 30 à 34 ans;38;1432;21921;131262;82027;24140;7296;2340;795;340;1135
Mère 35 à 39 ans;17;394;3619;20674;61468;35506;10681;3571;1196;479;1675
Mère 40 à 44 ans;1;110;701;2685;7279;16046;7541;2560;855;343;1198
Mère 45 à 49 ans;0;4;27;139;266;542;860;377;145;49;194
Mère 50 à 60 ans;0;0;2;8;9;16;24;38;27;4;31
Mère + 45;0;4;29;147;275;558;884;415;172;53;225
