  ;T.fluid;T.smooth;F.undergrowth;F.acid;T.pour;F.green.apple;F.sweet;O.raw.apple;O.cooked.apple;F.bitter;F.raw.apple;Hedonic score
andros;4.25806451612902;3.99999999999999;2.35483870967741;3.58064516129032;5.48387096774192;2.93548387096773;5.48387096774192;3.51612903225806;5.58064516129032;2.41935483870968;3.90322580645161;3.99999999999999
carrefour;5.99999999999999;4.9032258064516;1.83870967741936;3.03225806451613;4.77419354838709;3.35483870967741;7.29032258064515;4;5.19354838709677;1.80645161290323;4.35483870967742;3.99999999999999
delisse;6.48387096774193;6.77419354838709;1.48387096774194;3.99999999999999;5.51612903225806;4.06451612903225;6.25806451612902;3.83870967741935;5.29032258064516;1.7741935483871;4.77419354838709;4.54838709677419
poti;2.80645161290322;7.03225806451612;1.80645161290323;1.70967741935483;7.22580645161289;1.9032258064516;5.35483870967741;3.96774193548387;4.25806451612903;1.7741935483871;3.25806451612902;2.80645161290322
scoup;4.90322580645161;3.12903225806451;4.48387096774193;3.41935483870967;4.93548387096773;3.83870967741935;5.54838709677418;4.83870967741935;3.74193548387096;2.80645161290322;4.67741935483871;2.61290322580645
st mamet;5.93548387096774;5.16129032258064;0.967741935483869;4.96774193548387;4.4516129032258;4.12903225806451;6.61290322580644;2.70967741935484;5.35483870967742;1.64516129032258;4.03225806451613;3.96774193548387
