http://www.nobelprize.org/nobel_prizes/country-birth-map/map.php?fromyear=1901&toyear=2015&cat=all&region=country&list=yes;Chimie;Economie;Littérature;Médecine;Paix;Physique
Allemagne;24;1;8;18;5;24
Canada;4;3;2;4;1;4
France;8;3;11;12;10;9
GB;23;6;7;26;11;20
Italie;1;1;6;5;1;5
Japon;6;0;2;3;1;11
Russie;4;3;5;2;3;10
USA;51;43;8;70;19;66
Afrique;1;0;5;3;8;2
Amérique;56;47;18;78;25;70
Asie;17;2;10;7;16;19
Europe;94;26;79;110;51;103
Océanie;3;0;0;9;0;2
